time	athlete	nationality	location	date	status	note
10.6	Donald Lippincott	United States	Stockholm, Sweden	July 6, 1912	Ratified	
10.6	Jackson Scholz	United States	Stockholm, Sweden	September 16, 1920	Ratified	
10.4	Charley Paddock	United States	Redlands, USA	April 23, 1921	Ratified	
10.4	Eddie Tolan	United States	Stockholm, Sweden	August 8, 1929	Ratified	
10.4	Eddie Tolan	United States	Copenhagen, Denmark	August 25, 1929	Ratified	
10.3	Percy Williams	Canada	Toronto, Ontario, Canada	August 9, 1930	Ratified	
10.3	Eddie Tolan	United States	Los Angeles, USA	August 1, 1932	Ratified	
10.3	Ralph Metcalfe	United States	Budapest, Hungary	August 12, 1933	Ratified	
10.3	Eulace Peacock	United States	Oslo, Norway	August 6, 1934	Ratified	
10.3	Chris Berger	Netherlands	Amsterdam, Netherlands	August 26, 1934	Ratified	
10.3	Ralph Metcalfe	United States	Osaka, Japan	September 15, 1934	Ratified	
10.3	Ralph Metcalfe	United States	Dairen, China	September 23, 1934	Ratified	
10.3	Takayoshi Yoshioka	Japan	Tokyo, Japan	June 15, 1935	Ratified	
10.2	Jesse Owens	United States	Chicago, USA	June 20, 1936	Ratified	
10.3	Lennart Strandberg	Sweden	Malmö, Sweden	September 26, 1936	Ratified but later rescinded	Lennart Strandberg ran 10.3 to tie the then-extant world record on September 26, 1936, and this was ratified as a world record. On February 28, 1938, the IAAF ratified Jesse Owens' 10.2 from June 20, 1936, meaning Strandberg's mark, achieved after Owens', was rescinded as a record.
10.2	Harold Davis	United States	Compton, USA	June 6, 1941	Ratified	
10.2	Lloyd LaBeach	Panama	Fresno, USA	May 15, 1948	Ratified	
10.2	Barney Ewell	United States	Evanston, United States	July 9, 1948	Ratified	
10.2	McDonald Bailey	Great Britain	Belgrade, Yugoslavia	August 25, 1951	Ratified	
10.2	Heinz Fütterer	West Germany	Yokohama, Japan	October 31, 1954	Ratified	
10.2	Bobby Morrow	United States	Houston, USA	May 19, 1956	Ratified	
10.2	Ira Murchison	United States	Compton, USA	June 1, 1956	Ratified	
10.2	Bobby Morrow	United States	Bakersfield, USA	June 22, 1956	Ratified	
10.2	Ira Murchison	United States	Los Angeles, USA	June 29, 1956	Ratified	
10.2	Bobby Morrow	United States	Los Angeles, USA	June 29, 1956	Ratified	
10.1	Willie Williams	United States	Berlin, Germany	August 3, 1956	Ratified	
10.1	Ira Murchison	United States	Berlin, Germany	August 4, 1956	Ratified	
10.1	Leamon King	United States	Ontario, USA	October 20, 1956	Ratified	
10.1	Leamon King	United States	Santa Ana, USA	October 27, 1956	Ratified	
10.1	Ray Norton	United States	San Jose, USA	April 18, 1959	Ratified	
10	Armin Hary	West Germany	Zürich, Switzerland	June 21, 1960	Ratified	
10	Harry Jerome	Canada	Saskatoon, Canada	July 15, 1960	Ratified	
